user_id,user_name,user_tel,user_add,user_email
1,Mary,0,1 Lama St. ,mary@hmail.com
2,Smith,5647382938,2 Lama St. ,smith@hmail.com
3,Hulia,3749274937,3 Lama St. ,hulia@hmail.com
4,Jusef,5736280898,4 Lama St. ,NULL
5,Taina,0,5 Lama St. ,NULL
6,Malina,2639327431,6 Lama St. ,malina@hmail.com
7,Zora,3049382746,7 Lama St. ,zora@hmail.com
8,Zelda,0,8 Lama St. ,zelda@hmail.com
9,Linze,2734732830,9 Lama St. ,NULL
10,Flora,9483728574,10 Lama St. ,flora@hmail.com
11,Shake,0,11 Lama St. ,NULL
12,Omage,2931637409,12 Lama St. ,omega@hmail.com
13,Delta,3748293657,13 Lama St. ,delta@hmail.com
14,Drie,0,14 Lama St. ,drie@hmail.com
15,NEW USER,3726289372,15 Lama St. ,NULL
